Date,Close,High,Low,Open,Volume
2015.2.14,282543.625,285274.4063,258614.4531,258614.4531,54607279650
2015.2.15,257729.8281,291646.1875,249723.8125,282747.8125,62068521096
2015.2.16,257187.5469,263703.0313,250985.2188,257729.8281,30964283871
2015.2.17,269890.6563,272119.625,255591.8594,256724.5156,30315031228
2015.2.18,261818.4844,270605.6875,258350.4531,270079,27919210296
2015.2.19,266925.5938,269751.75,261024.1563,261911.5469,20296333040
2015.2.20,270504.5,274410.5938,265861.1875,266890.0313,26494302621
2015.2.21,271342.25,283310.75,269844.2813,270474.5313,13630916846
2015.2.22,261877.8438,273403.9375,259380.5156,271353.375,21670283520
2015.2.23,264685.1563,265927.9063,257515.5,261897.8125,18170708000
2015.2.24,263873.7813,266194.1563,262236,264802.625,15695702120
2015.2.25,261110.1406,264279.2188,258602.5156,264045.125,12640646710
2015.2.26,260508.3438,260934.2813,257846.6875,260963.9063,15006672084
2015.2.27,279360.5625,281856.3438,260221.4688,260519.375,48441258201
2015.2.28,279839.3125,280311.4688,274574.0938,279021.5938,15352460087
2015.3.1,286651.5313,288257.75,270671.4063,279861.3438,27776672605
2015.3.2,303727.7188,304348.3125,284712.5625,286822.2813,44584298946
2015.3.3,308770.75,313212.4063,294395.1875,303040.1563,55310126317
2015.3.4,300524.0938,312587.8125,295045.8438,309086.4063,45539922350
2015.3.5,304038.8438,310202.6875,291245.9063,300135.6563,45468986112
2015.3.6,302774.3438,304905.1875,296635.7813,303402.5313,32105473591
2015.3.7,306702.1875,308470.75,299898.9375,302298.0938,19790135921
2015.3.8,304609.75,308475.1875,302598.9375,306893.1563,24501548012
2015.3.9,322752.5,326285.5,303747.3438,305118.2813,65951144990
2015.3.10,328454.6563,336712.375,323280.75,323036.7188,76294333516
2015.3.11,335006.0625,336045.875,327896.375,328190.0938,38390415087
2015.3.12,330853.9063,333849.6875,329330.125,334721.25,36625764800
2015.3.13,324462.4063,330780.125,324462.4063,330588.6563,35730016080
2015.3.14,320537.0938,325605.2188,319503.4375,323444.6563,25712898576
2015.3.15,325620.25,325797.7813,319526.1875,320013.9688,13609644597
2015.3.16,328506.6563,332078.9063,324646.7188,324815.2813,24323305567
2015.3.17,322035.375,329337.4688,320853.5,328508.9375,24247766740
2015.3.18,284671.3125,321174.1875,277368.1875,321541.3125,63318785600
2015.3.19,292369.8438,296590.0938,276632.4063,284205.9063,59086206000
2015.3.20,291198.375,297040.25,291780.125,292401.1875,20533263317
2015.3.21,289280.4063,291695.6875,284413.1875,291081.5938,19057407551
2015.3.22,298057.25,300090.8438,288796.4688,289160.25,20509067392
2015.3.23,294544.9688,306729.3125,289484.7188,297984.9688,25189812456
2015.3.24,270785.6875,295972.8125,269979.2813,294364.9688,44184059409
2015.3.25,270740.375,273824.9375,260568.5781,272855.2188,39442471261
2015.3.26,274379.3125,281043.375,269689.375,270827.25,28405920000
2015.3.27,272406.2813,283357.5625,270850.0313,274416.8438,19049550477
2015.3.28,278767.9375,280319.4688,272346.75,272346.75,17688781657
2015.3.29,267768.25,279143.9688,265770.75,278704,23939429062
2015.3.30,273887.5313,275871.0313,264642.4688,267951.4063,25460122400
2015.3.31,270595.3125,275761.9688,268704.7813,273807.8438,25120122560
2015.4.1,271690.125,272052.5,265956.0625,270594.2188,25136323500
2015.4.2,275993.0313,277413.375,268264.2188,271489.0313,28659728436
2015.4.3,276061.4375,279135.5313,275505.25,276068.3125,25125171368
2015.4.4,275383.0313,277077.4375,272564.0313,276027.7813,13561444380
2015.4.5,282751.4375,282834.9688,273478,275452.5,21319578492
2015.4.6,277311.0313,284417.3438,276570.2813,282884.9063,21745120680
2015.4.7,276832.0625,278929.75,275004.3438,277074.4063,20192624508
2015.4.8,267350.8438,276637.375,266658.3438,276705.2188,32828173632
2015.4.9,266681.4375,269536.125,261223.7031,267055.1563,23686862835
2015.4.10,258017.2656,267234.8438,254418.7031,266701.1563,31566870720
2015.4.11,258541.875,261804.3594,255943.9063,257956.0469,17886508992
2015.4.12,257973.5313,259827.1875,255200.6875,258523.2969,13532541960
2015.4.13,247263.5625,260225.7031,244390.9531,257751.7813,34330226346
2015.4.14,239185.75,246528.7031,235945.6563,247452.9219,34617482220
2015.4.15,244895.6719,244895.6719,239038.0156,239091.8906,24685084200
2015.4.16,247679.4219,248870.2813,244091.9375,244987.5938,26878883386
2015.4.17,241334.4063,248317.2344,240001.4219,247681.5781,22121183142
2015.4.18,241847.6406,242887.1094,239162.3281,241303,14010219810
2015.4.19,240924.4375,245092.7656,240583.125,241955.9219,16258069880
2015.4.20,243034.1094,244594.8906,240134.7188,240937.4219,19869687165
2015.4.21,254610.4688,254610.4688,242624.1406,243027.6094,27031441380
2015.4.22,253631.3438,256955.9844,252870.8438,254970.8438,25829183532
2015.4.23,255532.6719,255653.125,252391.2813,253498.1094,18409953400
2015.4.24,248703.2969,254902.2031,247283.75,255000.9844,23065717493
2015.4.25,243457.5469,250093.7813,243400.5469,248667.8125,15009433308
2015.4.26,236255.8906,244053.3125,231073.3438,243479.0469,31163102916
2015.4.27,245086.0938,249223.3906,234034.6094,236254.8125,41232134340
2015.4.28,240264.5469,245880.9375,237876.3281,244747.25,22838934960
2015.4.29,241560.3594,242524.125,238350.6406,239983.7031,20257510240
2015.4.30,254387.2031,257788.9531,240292.5156,241437.3438,36431086850
2015.5.1,250789.2031,257146.5313,250789.2031,254165.2813,20332189486
2015.5.2,253870.0469,254731.3125,251072.3281,251072.3281,13546112010
2015.5.3,259526.5469,262850,252954.7656,253816.0313,19969004475
2015.5.4,258072.5156,262068.4531,257141.5781,259524.3906,22915329448
2015.5.5,255114.5781,258273.3438,251237.9063,257893.2813,25853956804
2015.5.6,248065.75,255393.9531,247652,255252.8594,31941453504
2015.5.7,259417.9219,261325.0156,248913.7031,247936.2031,31768842420
2015.5.8,265076.6563,267777.25,257160.625,259275.8281,29832984045
2015.5.9,262868.9688,269360.4688,260485.2031,264974.4688,21512075595
2015.5.10,261105.6406,265299.4688,259626.4688,262757,16319754060
2015.5.11,265577.0938,267690.625,261326.7813,261108.8906,22912794333
2015.5.12,263605.3438,266513.3125,262694.7188,265562.8438,21081473754
2015.5.13,258182.7813,266046.7813,256633.875,263918,29687464225
2015.5.14,258098.6094,259008.2813,254630.625,258004.75,26595064095
2015.5.15,257404.625,258918.0781,256517.6563,258126.9375,17690128902
2015.5.16,255831.625,257504.2969,254902.125,257446.875,12013804701
2015.5.17,256624.7031,257859.6094,255676.7031,255676.7031,12066352253
2015.5.18,253951,257394.2031,253258.2031,256716.7969,18279116396
2015.5.19,253919.3438,255077.0781,253739.9375,253851.875,15591035187
2015.5.20,256560.9531,257454.2969,253973.625,253856.9375,16992457202
2015.5.21,257118.0156,257981,255862.2656,256558.7656,16506775428
2015.5.22,263486.3125,263863.4688,256203.6406,257092.8906,29602578810
2015.5.23,261868.2031,264228.4688,261669.7813,263418.3438,16011023350
2015.5.24,263937.5,265273.2188,261801.3438,261982.2188,12605748120
2015.5.25,260050.3906,264315.6875,259330.4844,263909.0313,15819412325
2015.5.26,262435.25,262978.6563,260079.0469,260043.8125,18178861500
2015.5.27,263013.9688,263637.9063,262880.5625,262378.8125,20879684280
2015.5.28,263062.3125,263399.5938,261353.7344,262985.1563,15324026576
2015.5.29,263653.125,263103.125,261133.375,263027.9688,16463308050
2015.5.30,259481.9688,263649.7813,258037.4844,263648.6563,15677784186
2015.5.31,256383.3281,259378.5625,255225.4688,259248.4375,16407017732
2015.6.1,248531.2813,257319.5938,246751.6875,256431.2188,29087254830
2015.6.2,250092.625,251013.8281,247730.2969,248495.6094,22659774630
2015.6.3,249963.4531,251661.1875,247469.5156,250018.4063,19645693460
2015.6.4,249616.5313,252053.2344,249257.8281,249850.5938,16388693275
2015.6.5,252742.5625,253355.3281,248128.1875,249427.375,20287200010
2015.6.6,253491.9688,253604.3125,252098.7813,252802.125,12506685510
2015.6.7,250417.9375,254138,250274.2031,253466.125,14963888320
2015.6.8,255448.4219,256738.0938,249780.2344,250415.7031,26136817416
2015.6.9,256561.25,258400.5625,255485.6094,255503.1875,31758874372
2015.6.10,253914.125,255565.8281,253175.4531,256501.875,17650351800
2015.6.11,255303.3281,255908.7344,254480.4063,253971.8281,16022519040
2015.6.12,255413.4063,256819.8594,254537.4375,255303.3281,15567777266
2015.6.13,258101,258378.6563,254556.0469,255344.5469,14776600074
2015.6.14,259440.5781,260828.5938,257659,258145.4375,13514976651
2015.6.15,264185.5313,265180,259868.7031,259306.1563,22212744034
2015.6.16,280452.9375,281570.9063,263866.3438,264120.8125,46514309720
2015.6.17,277455.5938,287397.9688,275264.4063,280372.4688,48814837784
2015.6.18,274963.5,277800.3438,270102.125,277615.8438,34209576048
2015.6.19,269604.75,277851.625,268702.0313,275003.25,26414553660
2015.6.20,270272.6875,270951.625,265219.0938,269520.9688,22714247820
2015.6.21,268931.1875,270285.9063,266602.3438,270149.2188,11686750187
2015.6.22,271609.9688,272721.0938,267947.25,268958.75,19456088400
2015.6.23,269932.4375,273147.2813,268610.9063,271540.6875,16694206978
2015.6.24,266723.9063,269972.375,266723.9063,269916.9375,19234973753
2015.6.25,269766.6875,270074.1875,266733.0313,266557.5938,17925003417
2015.6.26,273300.2813,273474.1875,271148.0625,269550.0313,15688787825
2015.6.27,281598.25,281989.7813,272765.125,273249.7813,22987184770
2015.6.28,279427.6875,281802.4375,277608.5938,281558.9688,16986657840
2015.6.29,287664.9063,287846.0313,280076.2188,279102.25,38878694816
2015.6.30,294227.5938,299279.7813,286557.1563,287633.5625,49807937934
2015.7.1,290646.0313,296674.4375,286461.7813,294532.9375,30376900134
2015.7.2,286533.9688,293576.1563,284330.375,290568.5,24177999015
2015.7.3,287506.4688,287851.6875,284158.8438,286586.6875,21348310080
2015.7.4,292609.7188,293250.1875,285110.7188,287680.3125,17519840640
2015.7.5,304855.25,307885.9375,290159.0313,292518.875,49505611515
2015.7.6,302726,312260.6563,300942.9688,303952.75,55311438700
2015.7.7,301878.75,306634.3125,299845.4375,303775.875,32724518400
2015.7.8,307422.2188,309904,300368.9063,301623.5938,41983621060
2015.7.9,304763.4063,308806.0938,304050.6875,307469.875,45620555388
2015.7.10,321987.2188,332940.875,304095.7188,304681.9063,1.13461E+11
2015.7.11,331278.5625,337371.5,320445.5938,321971.375,46462408980
2015.7.12,350953.3125,355328.125,330589.1563,331306.8438,63678424750
2015.7.13,331679.875,352273,317663.25,350908.125,70473373152
2015.7.14,328381.625,338413.0938,327498.25,331657.1563,32816229648
2015.7.15,327597.2188,334757.25,327019.1875,329045.3438,31503216858
2015.7.16,318745.5938,333899.5625,315331.4375,327841.3125,56716956120
2015.7.17,321163.625,322061.3438,311693.2813,318747.9063,31707485052
2015.7.18,315910.7188,324674.375,314961.5313,321001.5938,28944511578
2015.7.19,314437.2188,316794.4688,313166.5,315756.75,17620109000
2015.7.20,322384.8438,322384.8438,313999.5313,314305.0313,26244839612
2015.7.21,316623.1875,325125.9063,316164.5,322270.4375,26321691916
2015.7.22,320654.3438,321184.5625,316443.625,316421.1875,22427599966
2015.7.23,320572.9688,322886.875,319885.7188,320792.0313,21520213377
2015.7.24,337097.9063,338324.75,319514.8438,320521.8438,43499118390
2015.7.25,337587.8125,339968.625,334436.4688,336964.5625,24161343570
2015.7.26,342509.9375,342680.3438,336429,337521.1875,18761478429
2015.7.27,342377.3125,347767.25,335439.7813,342454.9375,35671495680
2015.7.28,341391.0625,346901.3125,341711.625,342387.8125,29513703736
2015.7.29,336263.2188,341337.7813,333777.125,341457.1563,28649082942
2015.7.30,337172.75,338768.5313,335545.3438,335697.7188,25354344946
2015.7.31,331807.9688,337561.9063,330367.875,337142.3438,27543732997
2015.8.1,328253.8438,332136.6875,324186.8125,331849.9375,22141901650
2015.8.2,329793.5938,330270.0625,323507.2188,326911,20680744068
2015.8.3,328979.3438,334012.5,325995.0625,330017.625,25120402180
2015.8.4,333200.2188,333600.8438,329426.9688,328977,25594400601
2015.8.5,330619.375,334721.375,329366.3125,332766.7813,23608131200
2015.8.6,323848.5313,330647.5625,323816.125,330647.5625,21846004171
2015.8.7,325353.0625,326452,321886.25,324039.1875,49439561760
2015.8.8,303722.2188,325752.2188,303388.2188,325535.7813,68114852100
2015.8.9,308622.9063,310711.375,303106.5938,303860.6875,27697041800
2015.8.10,306285.3438,310512.8438,305315.125,309082.75,24296452934
2015.8.11,318579.5938,318579.5938,310600.9375,306137.125,29967238336
2015.8.12,312746.75,322398.625,311557.0625,318829.375,31483424832
2015.8.13,311046.625,311731.0313,309568.875,312520.1563,32609366175
2015.8.14,313058.7188,315168.5625,307610.5625,311107.875,31922373696
2015.8.15,308193.375,314221.7188,307892.9063,312880.7813,22766631763
2015.8.16,305025.3125,309240.9375,302879.0938,308564.5625,35064574150
2015.8.17,305061.7813,307969.0313,304295.4063,305005.25,25563599108
2015.8.18,250282.7031,305695.9063,250282.7031,305002.6563,49975199456
2015.8.19,267981.3125,281329.6563,263434.1563,267584.875,71958350856
2015.8.20,278510.8438,282730.2188,267650.0625,268235.4688,38193912250
2015.8.21,277885.0625,281758.375,276395.75,278516.75,27689214930
2015.8.22,275281.5,280738.375,266097.875,277996.1875,27727569615
2015.8.23,272890.125,278047.5625,269554.5625,275264.7813,22014293600
2015.8.24,250655.3281,272826.875,250549.2188,272821.9375,70519417353
2015.8.25,263867.625,269276.7188,238520.4844,250146.8594,72738299548
2015.8.26,266990.9375,274192.2813,261338.0938,264423.6875,37605326080
2015.8.27,263696.75,268001.625,262370.1563,267249.875,25699196226
2015.8.28,272785.8125,277422,259577,263616.9688,36941777642
2015.8.29,270880.75,274938.4063,267992.5313,272966.1563,20208778975
2015.8.30,269743.5313,273578,266715.7813,271016.3125,22890367290
2015.8.31,271958.4063,274079.1875,266927.5938,270159.7813,24482946898
2015.9.1,268792.6875,272927.375,266599.0625,272194.8125,24243552408
2015.9.2,271311.75,272943.2188,266810.2188,268681.9375,22199181320
2015.9.3,270397.75,272380.4063,269774.5313,271359.0938,20807426040
2015.9.4,276433.5938,277156.1875,270099.875,270435.8438,25161797592
2015.9.5,282100.3438,283449.5313,275407.3125,276314.7813,24812501562
2015.9.6,287867.9688,291574.5625,281694.6563,281921.5,30574808425
2015.9.7,288425.625,291202.6875,287397.4063,287980.7813,25484468188
2015.9.8,290827.7813,294118.75,289051.6563,288424.4063,32089464128
2015.9.9,283777.1563,291172.7813,282800.0938,290598.5625,28161936550
2015.9.10,281782.0313,286347.2188,281409.5,283977.3438,25068022645
2015.9.11,283732.0313,285782.875,281967.0313,281607.1563,22717635743
2015.9.12,277967.75,283752.125,277406.4375,283434.25,21226224794
2015.9.13,272303.8125,278802.0313,270845.6875,277983.125,21829006440
2015.9.14,272489.75,274732.4688,268786.5313,272418.4063,24807430854
2015.9.15,271288.9063,305401.9375,270741.8125,272310.1563,22590681288
2015.9.16,268013.5625,272868.375,267279.2188,271225.2813,23566699580
2015.9.17,267935.4688,269576.2188,268026.5625,267996.0313,22076782860
2015.9.18,273056.0313,272170.5313,270017.2188,272262.125,23724668088
