Price,Close,High,Low,Open,Volume
Ticker,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW
Date,,,,,
2015-01-14,192751.96875,241277.125,185548.09375,241295.03125,105669487404
2015-01-15,225708.203125,246739.515625,191862.484375,191446.78125,87955580902
2015-01-16,224343.140625,238930.5,215161.359375,224875.703125,41420527470
2015-01-17,214816.21875,228260.84375,210088.890625,224059.59375,25301979479
2015-01-18,226903.203125,235768.53125,209691.078125,215667.90625,32454301625
2015-01-19,231877.984375,233611.109375,223188.1875,228124.328125,20136037360
2015-01-20,229720.546875,233278.1875,222896.6875,229769.234375,26145950810
2015-01-21,245468.515625,246250.21875,228529.28125,229789.03125,32373928510
2015-01-22,253243.1875,256976.0,245862.046875,245928.3125,36395555554
2015-01-23,250696.5625,252850.5625,243752.15625,253363.609375,26505506267
2015-01-24,266809.78125,267200.5625,247620.984375,250503.875,26678609075
2015-01-25,273325.34375,274676.4375,262550.03125,266276.90625,36177971056
2015-01-26,295277.0,334140.90625,274176.65625,273714.21875,115308685620
2015-01-27,283788.9375,298399.9375,270063.5625,294946.59375,47822162900
2015-01-28,253715.890625,287668.5625,246354.0,283655.375,48106613730
2015-01-29,256761.5625,260571.46875,241876.078125,253100.921875,35420566104
2015-01-30,249384.5,265254.0,248739.078125,255946.78125,29302967280
2015-01-31,239514.859375,257181.296875,238242.734375,249402.109375,25715707480
2015-02-01,250032.359375,255101.921875,233513.328125,238857.3125,32087955600
2015-02-02,261670.734375,266157.59375,245345.71875,249502.484375,33624330640
2015-02-03,247999.390625,270523.1875,245104.015625,260819.46875,44503989114
2015-02-04,246847.8125,250123.65625,239688.703125,248264.5625,28938321602
2015-02-05,235578.453125,260549.25,233534.921875,247731.390625,24431644984
2015-02-06,243828.03125,252486.8125,235199.859375,235374.46875,26805768453
2015-02-07,249848.40625,252640.296875,244202.09375,244230.625,23700023442
2015-02-08,245071.796875,251695.78125,242523.671875,249781.484375,18807427140
2015-02-09,240899.390625,245089.078125,237907.078125,245046.578125,30416188285
2015-02-10,241405.203125,243652.78125,234576.21875,241087.625,23186491310
2015-02-11,242412.03125,245054.046875,241623.8125,241287.703125,19024785343
2015-02-12,244261.96875,244701.09375,241590.703125,242437.46875,16748868990
2015-02-13,258503.5625,263650.625,242879.296875,244487.75,46934206088
2015-02-14,282543.625,285274.40625,258614.453125,258614.453125,54607279650
2015-02-15,257729.828125,291646.1875,249723.8125,282747.8125,62068521096
2015-02-16,257187.546875,263703.03125,250985.21875,257729.828125,30964283871
2015-02-17,269890.65625,272119.625,255591.859375,256724.515625,30315031228
2015-02-18,261818.484375,270605.6875,258350.453125,270079.0,27919210296
2015-02-19,266925.59375,269751.75,261024.15625,261911.546875,20296333040
2015-02-20,270504.5,274410.59375,265861.1875,266890.03125,26494302621
2015-02-21,271342.25,283310.75,269844.28125,270474.53125,13630916846
2015-02-22,261877.84375,273403.9375,259380.515625,271353.375,21670283520
2015-02-23,264685.15625,265927.90625,257515.5,261897.8125,18170708000
2015-02-24,263873.78125,266194.15625,262236.0,264802.625,15695702120
2015-02-25,261110.140625,264279.21875,258602.515625,264045.125,12640646710
2015-02-26,260508.34375,260934.28125,257846.6875,260963.90625,15006672084
2015-02-27,279360.5625,281856.34375,260221.46875,260519.375,48441258201
2015-02-28,279839.3125,280311.46875,274574.09375,279021.59375,15352460087
2015-03-01,286651.53125,288257.75,270671.40625,279861.34375,27776672605
2015-03-02,303727.71875,304348.3125,284712.5625,286822.28125,44584298946
2015-03-03,308770.75,313212.40625,294395.1875,303040.15625,55310126317
2015-03-04,300524.09375,312587.8125,295045.84375,309086.40625,45539922350
2015-03-05,304038.84375,310202.6875,291245.90625,300135.65625,45468986112
2015-03-06,302774.34375,304905.1875,296635.78125,303402.53125,32105473591
2015-03-07,306702.1875,308470.75,299898.9375,302298.09375,19790135921
2015-03-08,304609.75,308475.1875,302598.9375,306893.15625,24501548012
2015-03-09,322752.5,326285.5,303747.34375,305118.28125,65951144990
2015-03-10,328454.65625,336712.375,323280.75,323036.71875,76294333516
2015-03-11,335006.0625,336045.875,327896.375,328190.09375,38390415087
2015-03-12,330853.90625,333849.6875,329330.125,334721.25,36625764800
2015-03-13,324462.40625,330780.125,324462.40625,330588.65625,35730016080
2015-03-14,320537.09375,325605.21875,319503.4375,323444.65625,25712898576
2015-03-15,325620.25,325797.78125,319526.1875,320013.96875,13609644597
2015-03-16,328506.65625,332078.90625,324646.71875,324815.28125,24323305567
2015-03-17,322035.375,329337.46875,320853.5,328508.9375,24247766740
2015-03-18,284671.3125,321174.1875,277368.1875,321541.3125,63318785600
2015-03-19,292369.84375,296590.09375,276632.40625,284205.90625,59086206000
2015-03-20,291198.375,297040.25,291780.125,292401.1875,20533263317
2015-03-21,289280.40625,291695.6875,284413.1875,291081.59375,19057407551
2015-03-22,298057.25,300090.84375,288796.46875,289160.25,20509067392
2015-03-23,294544.96875,306729.3125,289484.71875,297984.96875,25189812456
2015-03-24,270785.6875,295972.8125,269979.28125,294364.96875,44184059409
2015-03-25,270740.375,273824.9375,260568.578125,272855.21875,39442471261
2015-03-26,274379.3125,281043.375,269689.375,270827.25,28405920000
2015-03-27,272406.28125,283357.5625,270850.03125,274416.84375,19049550477
